model_date,timestamp,state_abb,party,variable,metric,value
28/08/2024,2024-08-28T16:32:11Z,WA,REP,state vote,lower,0.3263
28/08/2024,2024-08-28T16:32:11Z,WA,DEM,state vote,lower,0.5009
28/08/2024,2024-08-28T16:32:11Z,VT,REP,state vote,lower,0.2441
28/08/2024,2024-08-28T16:32:11Z,VT,DEM,state vote,lower,0.5899
28/08/2024,2024-08-28T16:32:11Z,VA,REP,state vote,lower,0.3722
28/08/2024,2024-08-28T16:32:11Z,VA,DEM,state vote,lower,0.4502
28/08/2024,2024-08-28T16:32:11Z,UT,REP,state vote,lower,0.5202
28/08/2024,2024-08-28T16:32:11Z,UT,DEM,state vote,lower,0.3075
28/08/2024,2024-08-28T16:32:11Z,TX,REP,state vote,lower,0.4367
28/08/2024,2024-08-28T16:32:11Z,TX,DEM,state vote,lower,0.3858
28/08/2024,2024-08-28T16:32:11Z,TN,REP,state vote,lower,0.5313
28/08/2024,2024-08-28T16:32:11Z,TN,DEM,state vote,lower,0.2968
28/08/2024,2024-08-28T16:32:11Z,SD,REP,state vote,lower,0.5462
28/08/2024,2024-08-28T16:32:11Z,SD,DEM,state vote,lower,0.2832
28/08/2024,2024-08-28T16:32:11Z,SC,REP,state vote,lower,0.4713
28/08/2024,2024-08-28T16:32:11Z,SC,DEM,state vote,lower,0.3537
28/08/2024,2024-08-28T16:32:11Z,RI,REP,state vote,lower,0.313
28/08/2024,2024-08-28T16:32:11Z,RI,DEM,state vote,lower,0.5127
28/08/2024,2024-08-28T16:32:11Z,PA,REP,state vote,lower,0.4059
28/08/2024,2024-08-28T16:32:11Z,PA,DEM,state vote,lower,0.4162
28/08/2024,2024-08-28T16:32:11Z,OR,REP,state vote,lower,0.3391
28/08/2024,2024-08-28T16:32:11Z,OR,DEM,state vote,lower,0.4865
28/08/2024,2024-08-28T16:32:11Z,OK,REP,state vote,lower,0.5837
28/08/2024,2024-08-28T16:32:11Z,OK,DEM,state vote,lower,0.2499
28/08/2024,2024-08-28T16:32:11Z,OH,REP,state vote,lower,0.4529
28/08/2024,2024-08-28T16:32:11Z,OH,DEM,state vote,lower,0.3702
28/08/2024,2024-08-28T16:32:11Z,NY,REP,state vote,lower,0.3109
28/08/2024,2024-08-28T16:32:11Z,NY,DEM,state vote,lower,0.5148
28/08/2024,2024-08-28T16:32:11Z,NV,REP,state vote,lower,0.4054
28/08/2024,2024-08-28T16:32:11Z,NV,DEM,state vote,lower,0.4162
28/08/2024,2024-08-28T16:32:11Z,NM,REP,state vote,lower,0.364
28/08/2024,2024-08-28T16:32:11Z,NM,DEM,state vote,lower,0.4608
28/08/2024,2024-08-28T16:32:11Z,NJ,REP,state vote,lower,0.3363
